UniqueKey,Date,HomeTeam,AwayTeam,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,score1,score2,Winner,HomeOdds,AwayOdds,DrawOdds
05/11/16BurnleyCrystal Palace,05/11/16,Burnley,Crystal Palace,55.21,59.04,0.4177,0.2947,0.2876,1.32,1.12,3,2,Burnley,3.3,2.38,3.3
05/11/16ChelseaEverton,05/11/16,Chelsea,Everton,84.17,69.71,0.6702,0.1221,0.2077,2,0.84,5,0,Chelsea,1.53,7,4.33
05/11/16Man CityMiddlesbrough,05/11/16,Man City,Middlesbrough,88.27,54.97,0.8142,0.0497,0.1361,2.55,0.37,1,1,Draw,1.22,15,7
05/11/16West HamStoke,05/11/16,West Ham,Stoke,60.24,60.34,0.4635,0.2702,0.2663,1.57,1.22,1,1,Draw,2,4,3.6
06/11/16ArsenalTottenham,06/11/16,Arsenal,Tottenham,85.54,75.3,0.6239,0.1517,0.2244,1.87,0.94,1,1,Draw,1.95,4.2,3.6
06/11/16HullSouthampton,06/11/16,Hull,Southampton,44.3,70.81,0.2393,0.4825,0.2783,0.9,1.54,2,1,Hull,5.75,1.7,3.8
06/11/16LeicesterWest Brom,06/11/16,Leicester,West Brom,65.67,58.1,0.5196,0.2111,0.2693,1.58,0.9,1,2,West Brom,1.8,5.25,3.6
06/11/16LiverpoolWatford,06/11/16,Liverpool,Watford,81.35,62.1,0.713,0.1086,0.1784,2.34,0.93,6,1,Liverpool,1.29,12,6
06/11/16SwanseaMan United,06/11/16,Swansea,Man United,59.08,79.39,0.2158,0.5381,0.2462,1.11,1.79,1,3,Man United,5,1.73,4
19/11/16Crystal PalaceMan City,19/11/16,Crystal Palace,Man City,59.07,87.88,0.0759,0.78,0.1442,1.03,2.41,1,2,Man City,6.5,1.53,4.5
19/11/16EvertonSwansea,19/11/16,Everton,Swansea,67.31,58.26,0.5585,0.1937,0.2478,1.78,1,1,1,Draw,1.6,6,4.33
19/11/16Man UnitedArsenal,19/11/16,Man United,Arsenal,80,84.92,0.3734,0.3657,0.2608,1.52,1.46,1,1,Draw,2.6,2.9,3.4
